Distribution	NN	O	O
and	NN	O	O
dynamics	NN	O	O
of	NN	O	O
electron	NN	O	B-RP
complexes	NN	O	E-RP
in	NN	O	O
cyanobacterial	NN	O	B-R
membranes	NN	O	E-R

The	NN	O	O
occurrence	NN	O	O
of	NN	O	O
prostaglandin	NN	O	B-R
F2α	NN	O	E-R
in	NN	O	O
Pharbitis	NN	O	B-R
seedlings	NN	O	E-R
grown	NN	O	O
under	NN	O	O
short	NN	O	B-P
days	NN	O	I-P
or	NN	O	I-P
days	NN	O	E-P

A	NN	O	O
phylogenetic	NN	O	B-RP
and	NN	O	I-RP
analysis	NN	O	E-RP
of	NN	O	O
Curio	NN	O	B-R
(Asteraceae)	NN	O	E-R

Photocurrents	NN	O	S-P
from	NN	O	O
photosystem	NN	O	B-T
II	NN	O	E-T
in	NN	O	O
a	NN	O	O
metal	NN	O	B-R
oxide	NN	O	I-R
system	NN	O	E-R
:	NN	O	O
Electron	NN	O	B-RP
pathways	NN	O	E-RP

Engineering	NN	O	O
of	NN	O	O
B800	NN	O	B-RP
bacteriochlorophyll	NN	O	I-RP
binding	NN	O	I-RP
specificity	NN	O	E-RP
in	NN	O	O
the	NN	O	O
Rhodobacter	NN	O	B-R
sphaeroides	NN	O	I-R
antenna	NN	O	E-R

Characterizing	NN	O	O
the	NN	O	O
distribution	NN	O	O
of	NN	O	O
an	NN	O	O
endangered	NN	O	B-R
salmonid	NN	O	E-R
using	NN	O	O
environmental	NN	O	B-METH
analysis	NN	O	E-METH

Predicting	NN	O	B-RP
responses	NN	O	I-RP
to	NN	O	I-RP
interventions	NN	O	E-RP
through	NN	O	O
scenarios:	NN	O	O
A	NN	O	O
Cambodian	NN	O	B-METH
study	NN	O	E-METH

Missing	NN	O	B-RP
native	NN	O	I-RP
oyster	NN	O	I-RP
(Ostrea	NN	O	I-RP
edulis	NN	O	I-RP
beds	NN	O	E-RP
in	NN	O	O
a	NN	O	O
European	NN	O	B-LOC
Marine	NN	O	I-LOC
Protected	NN	O	I-LOC
Should	NN	O	E-LOC
there	NN	O	O
be	NN	O	O
widespread	NN	O	O
restorative	NN	O	O
management?	NN	O	O

Avian	NN	O	B-R
pollinators	NN	O	I-R
and	NN	O	I-R
the	NN	O	I-R
syndromes	NN	O	E-R
of	NN	O	O
selected	NN	O	B-R
Mountain	NN	O	I-R
plants	NN	O	E-R

CO2	NN	O	B-METH
fixation	NN	O	E-METH
in	NN	O	O
CAM	NN	O	S-R
enhances	NN	O	O
water	NN	O	B-RP
uptake	NN	O	E-RP
during	NN	O	O
the	NN	O	O
night	NN	O	S-R

The	NN	O	O
correct	NN	O	O
name	NN	O	O
for	NN	O	O
Memecylon	NN	O	B-R
(Melastomataceae)	NN	O	E-R

Seed	NN	O	B-RP
germination	NN	O	E-RP
in	NN	O	O
Citrullus	NN	O	B-R
lanatus.	NN	O	E-R
Part	NN	O	O
2.	NN	O	O
The	NN	O	O
involvement	NN	O	O
of	NN	O	O
phytochrome	NN	O	B-R
ethylene	NN	O	E-R
in	NN	O	O
controlling	NN	O	O
light	NN	O	B-P
sensitivity	NN	O	E-P

Evolution	NN	O	B-RP
pathogens	NN	O	E-RP
towards	NN	O	O
low	NN	O	B-P
R0	NN	O	E-P
in	NN	O	O
heterogeneous	NN	O	B-R
populations	NN	O	E-R

Biomass	NN	O	B-RP
increases	NN	O	E-RP
go	NN	O	O
under	NN	O	O
cover:	NN	O	O
Woody	NN	O	B-RP
dynamics	NN	O	E-RP
in	NN	O	O
a	NN	O	O
communally	NN	O	O
utilised	NN	O	O
