Distribution	[NER]NA	O
and	[NER]NA	O
dynamics	[NER]NA	O
of	[NER]NA	O
electron	[NER]NA	B-RP
complexes	[NER]NA	E-RP
in	[NER]NA	O
cyanobacterial	[NER]NA	B-M
membranes	[NER]NA	E-M

The	[NER]NA	O
occurrence	[NER]NA	O
of	[NER]NA	O
prostaglandin	[NER]NA	B-M
F2α	[NER]PRODUCT	E-M
in	[NER]NA	O
Pharbitis	[NER]ORG	B-M
seedlings	[NER]NA	E-M
grown	[NER]NA	O
under	[NER]NA	O
short	[NER]NA	B-P
days	[NER]DATE	I-P
or	[NER]NA	I-P
days	[NER]DATE	E-P

A	[NER]NA	O
phylogenetic	[NER]NA	B-RP
and	[NER]NA	I-RP
analysis	[NER]NA	E-RP
of	[NER]NA	O
Curio	[NER]GPE	B-M
(Asteraceae)	[NER]NA	E-M

Photocurrents	[NER]NA	S-P
from	[NER]NA	O
photosystem	[NER]NA	B-T
II	[NER]NA	E-T
in	[NER]NA	O
a	[NER]NA	O
metal	[NER]NA	B-M
oxide	[NER]NA	I-M
system	[NER]NA	E-M
:	[NER]NA	O
Electron	[NER]NA	B-RP
pathways	[NER]NA	E-RP

Engineering	[NER]NA	O
of	[NER]NA	O
B800	[NER]NA	B-RP
bacteriochlorophyll	[NER]NA	I-RP
binding	[NER]NA	I-RP
specificity	[NER]NA	E-RP
in	[NER]NA	O
the	[NER]NA	O
Rhodobacter	[NER]ORG	B-M
sphaeroides	[NER]NA	I-M
antenna	[NER]NA	E-M

Characterizing	[NER]NA	O
the	[NER]NA	O
distribution	[NER]NA	O
of	[NER]NA	O
an	[NER]NA	O
endangered	[NER]NA	B-M
salmonid	[NER]NA	E-M
using	[NER]NA	O
environmental	[NER]NA	B-METH
analysis	[NER]NA	E-METH

Predicting	[NER]NA	B-RP
responses	[NER]NA	I-RP
to	[NER]NA	I-RP
interventions	[NER]NA	E-RP
through	[NER]NA	O
scenarios:	[NER]NA	O
A	[NER]NA	O
Cambodian	[NER]NORP	B-METH
study	[NER]NA	E-METH

Missing	[NER]NA	B-RP
native	[NER]NA	I-RP
oyster	[NER]NA	I-RP
