Distribution	[POS]NN	[NER]NA	O
and	[POS]CC	[NER]NA	O
dynamics	[POS]NNS	[NER]NA	O
of	[POS]IN	[NER]NA	O
electron	[POS]NN	[NER]NA	B-RP
complexes	[POS]NNS	[NER]NA	I-RP
in	[POS]IN	[NER]NA	O
cyanobacterial	[POS]JJ	[NER]NA	B-M
membranes	[POS]NNS	[NER]NA	I-M

The	[POS]DT	[NER]NA	O
occurrence	[POS]NN	[NER]NA	O
of	[POS]IN	[NER]NA	O
prostaglandin	[POS]NNP	[NER]NA	B-M
F2α	[POS]NNP	[NER]PRODUCT	I-M
in	[POS]IN	[NER]NA	O
Pharbitis	[POS]NNP	[NER]ORG	B-M
seedlings	[POS]NNS	[NER]NA	I-M
grown	[POS]VBN	[NER]NA	O
under	[POS]IN	[NER]NA	O
short	[POS]JJ	[NER]NA	B-P
days	[POS]NNS	[NER]DATE	I-P
or	[POS]CC	[NER]NA	I-P
days	[POS]NNS	[NER]DATE	I-P

A	[POS]DT	[NER]NA	O
phylogenetic	[POS]NN	[NER]NA	B-RP
and	[POS]CC	[NER]NA	I-RP
analysis	[POS]NN	[NER]NA	I-RP
of	[POS]IN	[NER]NA	O
Curio	[POS]NNP	[NER]GPE	B-M
(Asteraceae)	[POS]NNP	[NER]NA	I-M

Photocurrents	[POS]NNS	[NER]NA	B-P
from	[POS]IN	[NER]NA	O
photosystem	[POS]NN	[NER]NA	B-T
II	[POS]NNP	[NER]NA	I-T
in	[POS]IN	[NER]NA	O
a	[POS]DT	[NER]NA	O
metal	[POS]NN	[NER]NA	B-M
oxide	[POS]NN	[NER]NA	I-M
system	[POS]NN	[NER]NA	I-M
:	[POS]:	[NER]NA	O
Electron	[POS]NNP	[NER]NA	B-RP
pathways	[POS]VBZ	[NER]NA	I-RP

Engineering	[POS]NN	[NER]NA	O
of	[POS]IN	[NER]NA	O
B800	[POS]NNP	[NER]NA	B-RP
bacteriochlorophyll	[POS]NN	[NER]NA	I-RP
binding	[POS]VBG	[NER]NA	I-RP
specificity	[POS]NN	[NER]NA	I-RP
in	[POS]IN	[NER]NA	O
the	[POS]DT	[NER]NA	O
Rhodobacter	[POS]NNP	[NER]ORG	B-M
sphaeroides	[POS]NNS	[NER]NA	I-M
antenna	[POS]NN	[NER]NA	I-M

Characterizing	[POS]VBG	[NER]NA	O
the	[POS]DT	[NER]NA	O
distribution	[POS]NN	[NER]NA	O
of	[POS]IN	[NER]NA	O
an	[POS]DT	[NER]NA	O
endangered	[POS]JJ	[NER]NA	B-M
salmonid	[POS]NN	[NER]NA	I-M
using	[POS]VBG	[NER]NA	O
environmental	[POS]JJ	[NER]NA	B-METH
analysis	[POS]NN	[NER]NA	I-METH

Predicting	[POS]VBG	[NER]NA	B-RP
responses	[POS]NNS	[NER]NA	I-RP
to	[POS]IN	[NER]NA	I-RP
interventions	[POS]NNS	[NER]NA	I-RP
through	[POS]IN	[NER]NA	O
scenarios:	[POS]JJ	[NER]NA	O
A	[POS]DT	[NER]NA	O
Cambodian	[POS]JJ	[NER]NORP	B-METH
study	[POS]NN	[NER]NA	I-METH

Missing	[POS]VBG	[NER]NA	B-RP
native	[POS]JJ	[NER]NA	I-RP
oyster	[POS]NN	[NER]NA	I-RP
(Ostrea	[POS]NNP	[NER]NA	I-RP
edulis	[POS]NNS	[NER]NA	I-RP
beds	[POS]NNS	[NER]NA	I-RP
in	[POS]IN	[NER]NA	O
a	[POS]DT	[NER]NA	O
European	[POS]NNP	[NER]NORP	B-LOC
Marine	[POS]NNP	[NER]NA	I-LOC
Protected	[POS]NNP	[NER]NA	I-LOC
Should	[POS]MD	[NER]NA	I-LOC
there	[POS]EX	[NER]NA	O
be	[POS]VB	[NER]NA	O
widespread	[POS]JJ	[NER]NA	O
restorative	[POS]JJ	[NER]NA	O
management?	[POS]NN	[NER]NA	O

Avian	[POS]JJ	[NER]ORG	B-M
pollinators	[POS]NNS	[NER]NA	I-M
and	[POS]CC	[NER]NA	I-M
the	[POS]DT	[NER]NA	I-M
syndromes	[POS]NNS	[NER]NA	I-M
of	[POS]IN	[NER]NA	O
selected	[POS]VBN	[NER]NA	B-M
Mountain	[POS]NNP	[NER]NA	I-M
plants	[POS]NNS	[NER]NA	I-M

CO2	[POS]NNP	[NER]NA	B-METH
fixation	[POS]NN	[NER]NA	I-METH
in	[POS]IN	[NER]NA	O
CAM	[POS]NNP	[NER]ORG	B-M
enhances	[POS]VBZ	[NER]NA	O
water	[POS]NN	[NER]NA	B-RP
uptake	[POS]NN	[NER]NA	I-RP
during	[POS]IN	[NER]NA	O
the	[POS]DT	[NER]NA	O
night	[POS]NN	[NER]NA	B-M

The	[POS]DT	[NER]NA	O
correct	[POS]JJ	[NER]NA	O
name	[POS]NN	[NER]NA	O
for	[POS]IN	[NER]NA	O
Memecylon	[POS]NNP	[NER]ORG	B-M
(Melastomataceae)	[POS].	[NER]NA	I-M

Seed	[POS]NN	[NER]NA	B-RP
germination	[POS]NN	[NER]NA	I-RP
in	[POS]IN	[NER]NA	O
Citrullus	[POS]NNP	[NER]PERSON	B-M
lanatus.	[POS]NN	[NER]NA	I-M
Part	[POS]NN	[NER]NA	O
2.	[POS]CD	[NER]CARDINAL	O
The	[POS]DT	[NER]NA	O
involvement	[POS]NN	[NER]NA	O
of	[POS]IN	[NER]NA	O
phytochrome	[POS]NN	[NER]NA	B-M
ethylene	[POS]NN	[NER]NA	I-M
in	[POS]IN	[NER]NA	O
controlling	[POS]VBG	[NER]NA	O
light	[POS]JJ	[NER]NA	B-P
sensitivity	[POS]NN	[NER]NA	I-P

Evolution	[POS]NNP	[NER]NA	B-RP
pathogens	[POS]VBZ	[NER]NA	I-RP
towards	[POS]IN	[NER]NA	O
low	[POS]JJ	[NER]NA	B-P
R0	[POS]NN	[NER]GPE	I-P
in	[POS]IN	[NER]NA	O
heterogeneous	[POS]JJ	[NER]NA	B-M
populations	[POS]NNS	[NER]NA	I-M

Biomass	[POS]NN	[NER]ORG	B-RP
