Distribution	O
and	O
dynamics	O
of	O
electron	B-RP
complexes	E-RP
in	O
cyanobacterial	B-M
membranes	E-M

The	O
occurrence	O
of	O
prostaglandin	B-M
F2α	E-M
in	O
Pharbitis	B-M
seedlings	E-M
grown	O
under	O
short	B-P
days	I-P
or	I-P
days	E-P

A	O
phylogenetic	B-RP
and	I-RP
analysis	E-RP
of	O
Curio	B-M
(Asteraceae)	E-M

Photocurrents	S-P
from	O
photosystem	B-T
II	E-T
in	O
a	O
metal	B-M
oxide	I-M
system	E-M
:	O
Electron	B-RP
pathways	E-RP

Engineering	O
of	O
B800	B-RP
bacteriochlorophyll	I-RP
binding	I-RP
specificity	E-RP
in	O
the	O
Rhodobacter	B-M
sphaeroides	I-M
antenna	E-M

Characterizing	O
the	O
distribution	O
of	O
an	O
endangered	B-M
salmonid	E-M
using	O
environmental	B-METH
analysis	E-METH

Predicting	B-RP
responses	I-RP
to	I-RP
interventions	E-RP
through	O
scenarios:	O
A	O
Cambodian	B-METH
study	E-METH

Missing	B-RP
native	I-RP
oyster	I-RP
(Ostrea	I-RP
edulis	I-RP
beds	E-RP
in	O
a	O
European	B-LOC
Marine	I-LOC
Protected	I-LOC
Should	E-LOC
there	O
be	O
widespread	O
restorative	O
management?	O

Avian	B-M
pollinators	I-M
and	I-M
the	I-M
syndromes	E-M
of	O
selected	B-M
Mountain	I-M
plants	E-M

CO2	B-METH
fixation	E-METH
in	O
CAM	S-M
enhances	O
water	B-RP
uptake	E-RP
during	O
the	O
night	S-M

The	O
correct	O
name	O
for	O
Memecylon	B-M
(Melastomataceae)	E-M

Seed	B-RP
germination	E-RP
in	O
Citrullus	B-M
lanatus.	E-M
Part	O
2.	O
The	O
involvement	O
of	O
phytochrome	B-M
ethylene	E-M
in	O
controlling	O
light	B-P
sensitivity	E-P

Evolution	B-RP
pathogens	E-RP
towards	O
low	B-P
R0	E-P
in	O
heterogeneous	B-M
populations	E-M

Biomass	B-RP
increases	E-RP
go	O
under	O
cover:	O
Woody	B-RP
dynamics	E-RP
in	O
a	O
communally	O
utilised	O
semi-arid	B-LOC
savanna	I-LOC
in	I-LOC
Bushbuckridge,	I-LOC
Africa	E-LOC

Mutually	O
stimulating	O
interactions	O
between	O
lactic	B-M
bacteria	E-M
and	O
Saccharomyces	B-M
cerevisiae	E-M
in	O
sourdough	B-RP
fermentation	E-RP

Traditional	O
dairy	B-M
products	E-M
can	O
supply	B-RP
microorganisms	E-RP
able	O
to	O
survive	O
in	O
the	O
gastrointestinal	B-M
tract	E-M

Within	O
a	O
sample	O
from	O
a	O
population,	O
the	O
distribution	O
of	O
the	O
number	O
of	O
descendants	O
of	O
a	O
subsample’s	O
most	O
recent	O
common	O
ancestor	O

Modelling	O
how	O
the	O
physical	B-M
scale	E-M
of	O
experimental	B-M
tanks	E-M
affects	O
salmon	B-RP
performance	E-RP

Long-term	B-P
variability	E-P
of	O
the	O
siphonophores	B-M
atlantica	E-M
and	O
M.	B-M
kochi	E-M
in	O
the	O
Western	B-LOC
Channel	E-LOC

Seasonal	B-P
changes	E-P
in	O
plankton	B-RP
respiration	E-RP
and	O
bacterial	B-P
metabolism	E-P
in	O
a	O
temperate	B-M
sea	E-M

Habitat	B-RP
heterogeneity	E-RP
of	O
hadal	B-M
trenches	E-M
:	O
Considerations	O
and	O
implications	O
for	O
future	O
studies	O

Numerical	B-METH
modelling	E-METH
and	O
experimental	B-S
validation	E-S
of	O
a	O
regenerative	B-T
cooler	E-T

Comparing	O
the	O
effects	O
of	O
feeding	O
a	O
grain-	B-M
or	I-M
a	I-M
fish	I-M
diet	E-M
on	O
water	B-P
quality,	I-P
waste	I-P
production,	I-P
and	I-P
rainbow	I-P
trout	I-P
Oncorhynchus	I-P
performance	E-P
within	O
low	B-M
exchange	I-M
water	I-M
recirculating	I-M
systems	E-M

Antibacterial	B-RP
properties	E-RP
of	O
Curtisia	B-M
leaves	E-M
and	O
some	O
triterpenes/active	B-P
principles	E-P
isolated	O
from	O
them	O

Subunit	B-M
vaccines	E-M
based	O
on	O
intimin	B-M
and	I-M
polypeptides	E-M
induce	O
humoral	B-RP
immunity	I-RP
cattle	E-RP
but	O
do	O
not	O
protect	O
against	O
intestinal	B-RP
colonisation	E-RP
by	O
enterohaemorrhagic	B-M
Escherichia	I-M
coli	I-M
O157:H7	I-M
O26:H-	E-M

The	O
biological	O
effects	O
of	O
ionising	B-RP
radiation	E-RP
on	O
Crustaceans	S-M
:	O
A	O
review	O

Sheep	B-P
urine	I-P
patch	I-P
emissions	E-P
are	O
lower	O
from	O
extensively-managed	O
than	O
intensively-managed	B-M
grasslands	E-M

Metagenomic	B-RP
and	I-RP
analysis	E-RP
of	O
the	O
microbial	B-M
community	E-M
in	O
Swiss-type	B-M
cheese	E-M
during	O
ripening	S-P

Exposure	O
to	O
foods'	B-RP
non-taste	I-RP
properties	E-RP
.	O
A	O
nursery	O
intervention	O
to	O
increase	O
children's	O
willingness	O
to	O
try	O
fruit	S-M
and	O
vegetables	S-M

Energy-dense	B-M
snacks	E-M
can	O
have	O
the	O
same	O
expected	O
satiation	S-RP
as	O
sugar-containing	B-M
beverages	E-M

From	O
cookies	O
to	O
carrots;	O
the	O
effect	O
of	O
inhibitory	B-METH
training	E-METH
on	O
children's	B-RP
selections	E-RP

Availability	B-RP
and	I-RP
plant	I-RP
uptake	I-RP
of	I-RP
metals	E-RP
in	O
EDTA-assisted	B-METH
phytoremediation	E-METH
of	O
soil	B-M
and	I-M
biosolids	E-M

Sunbird	B-RP
pollination	E-RP
of	O
the	O
dioecious	B-M
root	I-M
parasite	I-M
Cytinus	I-M
(Cytinaceae)	E-M

Genetic	B-M
resources	E-M
,	O
chromosome	B-RP
engineering	E-RP
,	O
and	O
crop	B-RP
improvement	E-RP
series,	O
Grain	B-M
legumes	E-M
Volume	O
