Distribution	O
and	O
dynamics	O
of	O
electron	B-RP
complexes	I-RP
in	O
cyanobacterial	B-R
membranes	I-R

The	O
occurrence	O
of	O
prostaglandin	B-R
F2α	I-R
in	O
Pharbitis	B-R
seedlings	I-R
grown	O
under	O
short	B-P
days	I-P
or	I-P
days	I-P

A	O
phylogenetic	B-RP
and	I-RP
analysis	I-RP
of	O
Curio	B-R
(Asteraceae)	I-R

Photocurrents	B-P
from	O
photosystem	B-T
II	I-T
in	O
a	O
metal	B-R
oxide	I-R
system	I-R
:	O
Electron	B-RP
pathways	I-RP

Engineering	O
of	O
B800	B-RP
bacteriochlorophyll	I-RP
binding	I-RP
specificity	I-RP
in	O
the	O
Rhodobacter	B-R
sphaeroides	I-R
antenna	I-R

Characterizing	O
the	O
distribution	O
of	O
an	O
endangered	B-R
salmonid	I-R
using	O
environmental	B-METH
analysis	I-METH

Predicting	B-RP
responses	I-RP
to	I-RP
interventions	I-RP
through	O
scenarios:	O
A	O
Cambodian	B-METH
study	I-METH

Missing	B-RP
native	I-RP
oyster	I-RP
(Ostrea	I-RP
edulis	I-RP
beds	I-RP
in	O
a	O
European	B-LOC
Marine	I-LOC
Protected	I-LOC
Should	I-LOC
there	O
be	O
widespread	O
restorative	O
management?	O

Avian	B-R
pollinators	I-R
and	I-R
the	I-R
syndromes	I-R
of	O
selected	B-R
Mountain	I-R
plants	I-R

CO2	B-METH
fixation	I-METH
in	O
CAM	B-R
enhances	O
water	B-RP
uptake	I-RP
during	O
the	O
night	B-R

The	O
correct	O
name	O
for	O
Memecylon	B-R
(Melastomataceae)	I-R

Seed	B-RP
germination	I-RP
in	O
Citrullus	B-R
lanatus.	I-R
Part	O
2.	O
The	O
involvement	O
of	O
phytochrome	B-R
ethylene	I-R
in	O
controlling	O
light	B-P
sensitivity	I-P

Evolution	B-RP
pathogens	I-RP
towards	O
low	B-P
R0	I-P
in	O
heterogeneous	B-R
populations	I-R

Biomass	B-RP
increases	I-RP
go	O
under	O
cover:	O
Woody	B-RP
dynamics	I-RP
in	O
a	O
communally	O
utilised	O
semi-arid	B-LOC
savanna	I-LOC
in	I-LOC
Bushbuckridge,	I-LOC
Africa	I-LOC

Mutually	O
stimulating	O
interactions	O
between	O
lactic	B-R
bacteria	I-R
and	O
Saccharomyces	B-R
cerevisiae	I-R
in	O
sourdough	B-RP
fermentation	I-RP

Traditional	O
dairy	B-R
products	I-R
can	O
supply	B-RP
microorganisms	I-RP
able	O
to	O
survive	O
in	O
the	O
gastrointestinal	B-R
tract	I-R

Within	O
a	O
sample	O
from	O
a	O
population,	O
the	O
distribution	O
of	O
the	O
number	O
of	O
descendants	O
of	O
a	O
subsample’s	O
most	O
recent	O
common	O
ancestor	O

Modelling	O
how	O
the	O
physical	B-R
scale	I-R
of	O
experimental	B-R
tanks	I-R
affects	O
salmon	B-RP
performance	I-RP

Long-term	B-P
variability	I-P
of	O
the	O
siphonophores	B-R
atlantica	I-R
and	O
M.	B-R
kochi	I-R
in	O
the	O
Western	B-LOC
Channel	I-LOC

Seasonal	B-P
changes	I-P
in	O
plankton	B-RP
respiration	I-RP
and	O
bacterial	B-P
metabolism	I-P
in	O
a	O
temperate	B-R
sea	I-R

Habitat	B-RP
heterogeneity	I-RP
of	O
hadal	B-R
trenches	I-R
:	O
Considerations	O
and	O
implications	O
for	O
future	O
studies	O

Numerical	B-METH
modelling	I-METH
and	O
experimental	B-S
validation	I-S
of	O
a	O
regenerative	B-T
cooler	I-T

Comparing	O
the	O
effects	O
of	O
feeding	O
a	O
grain-	B-R
or	I-R
a	I-R
fish	I-R
diet	I-R
on	O
water	B-P
quality,	I-P
waste	I-P
production,	I-P
and	I-P
rainbow	I-P
trout	I-P
Oncorhynchus	I-P
performance	I-P
within	O
low	B-R
exchange	I-R
water	I-R
recirculating	I-R
systems	I-R

Antibacterial	B-RP
properties	I-RP
of	O
Curtisia	B-R
leaves	I-R
and	O
some	O
triterpenes/active	B-P
principles	I-P
isolated	O
from	O
them	O

Subunit	B-R
vaccines	I-R
based	O
on	O
intimin	B-R
and	I-R
polypeptides	I-R
induce	O
humoral	B-RP
immunity	I-RP
cattle	I-RP
but	O
do	O
not	O
protect	O
against	O
intestinal	B-RP
colonisation	I-RP
by	O
enterohaemorrhagic	B-R
Escherichia	I-R
coli	I-R
O157:H7	I-R
O26:H-	I-R

The	O
biological	O
effects	O
of	O
ionising	B-RP
radiation	I-RP
on	O
Crustaceans	B-R
:	O
A	O
review	O

Sheep	B-P
urine	I-P
patch	I-P
emissions	I-P
are	O
lower	O
from	O
extensively-managed	O
than	O
intensively-managed	B-R
grasslands	I-R

Metagenomic	B-RP
and	I-RP
analysis	I-RP
of	O
the	O
microbial	B-R
community	I-R
in	O
Swiss-type	B-R
cheese	I-R
during	O
ripening	B-P

Exposure	O
to	O
foods'	B-RP
non-taste	I-RP
properties	I-RP
.	O
A	O
nursery	O
intervention	O
to	O
increase	O
children's	O
willingness	O
to	O
try	O
fruit	B-R
and	O
vegetables	B-R

Energy-dense	B-R
snacks	I-R
can	O
have	O
the	O
same	O
expected	O
satiation	B-RP
as	O
sugar-containing	B-R
beverages	I-R

From	O
cookies	O
to	O
carrots;	O
the	O
effect	O
of	O
inhibitory	B-METH
training	I-METH
on	O
children's	B-RP
selections	I-RP

Availability	B-RP
and	I-RP
plant	I-RP
uptake	I-RP
of	I-RP
metals	I-RP
in	O
EDTA-assisted	B-METH
phytoremediation	I-METH
of	O
soil	B-R
and	I-R
biosolids	I-R

Sunbird	B-RP
pollination	I-RP
of	O
the	O
dioecious	B-R
root	I-R
parasite	I-R
Cytinus	I-R
(Cytinaceae)	I-R

Genetic	B-R
resources	I-R
,	O
chromosome	B-RP
engineering	I-RP
,	O
and	O
crop	B-RP
improvement	I-RP
series,	O
Grain	B-R
legumes	I-R
Volume	O
