Distribution	[NER]NA	O
and	[NER]NA	O
dynamics	[NER]NA	O
of	[NER]NA	O
electron	[NER]NA	B-RP
complexes	[NER]NA	I-RP
in	[NER]NA	O
cyanobacterial	[NER]NA	B-R
membranes	[NER]NA	I-R

The	[NER]NA	O
occurrence	[NER]NA	O
of	[NER]NA	O
prostaglandin	[NER]NA	B-R
F2α	[NER]PRODUCT	I-R
in	[NER]NA	O
Pharbitis	[NER]ORG	B-R
seedlings	[NER]NA	I-R
grown	[NER]NA	O
under	[NER]NA	O
short	[NER]NA	B-P
days	[NER]DATE	I-P
or	[NER]NA	I-P
days	[NER]DATE	I-P

A	[NER]NA	O
phylogenetic	[NER]NA	B-RP
and	[NER]NA	I-RP
analysis	[NER]NA	I-RP
of	[NER]NA	O
Curio	[NER]GPE	B-R
(Asteraceae)	[NER]NA	I-R

Photocurrents	[NER]NA	B-P
from	[NER]NA	O
photosystem	[NER]NA	B-T
II	[NER]NA	I-T
in	[NER]NA	O
a	[NER]NA	O
metal	[NER]NA	B-R
oxide	[NER]NA	I-R
system	[NER]NA	I-R
:	[NER]NA	O
Electron	[NER]NA	B-RP
pathways	[NER]NA	I-RP

Engineering	[NER]NA	O
of	[NER]NA	O
B800	[NER]NA	B-RP
bacteriochlorophyll	[NER]NA	I-RP
binding	[NER]NA	I-RP
specificity	[NER]NA	I-RP
in	[NER]NA	O
the	[NER]NA	O
Rhodobacter	[NER]ORG	B-R
sphaeroides	[NER]NA	I-R
antenna	[NER]NA	I-R

Characterizing	[NER]NA	O
the	[NER]NA	O
distribution	[NER]NA	O
of	[NER]NA	O
an	[NER]NA	O
endangered	[NER]NA	B-R
salmonid	[NER]NA	I-R
using	[NER]NA	O
environmental	[NER]NA	B-METH
analysis	[NER]NA	I-METH

Predicting	[NER]NA	B-RP
responses	[NER]NA	I-RP
to	[NER]NA	I-RP
interventions	[NER]NA	I-RP
through	[NER]NA	O
scenarios:	[NER]NA	O
A	[NER]NA	O
Cambodian	[NER]NORP	B-METH
study	[NER]NA	I-METH

Missing	[NER]NA	B-RP
native	[NER]NA	I-RP
oyster	[NER]NA	I-RP
