Distribution	O
and	O
dynamics	O
of	O
electron	B-RP
complexes	E-RP
in	O
cyanobacterial	B-R
membranes	E-R

The	O
occurrence	O
of	O
prostaglandin	B-R
F2α	E-R
in	O
Pharbitis	B-R
seedlings	E-R
grown	O
under	O
short	B-P
days	I-P
or	I-P
days	E-P

A	O
phylogenetic	B-RP
and	I-RP
analysis	E-RP
of	O
Curio	B-R
(Asteraceae)	E-R

Photocurrents	S-P
from	O
photosystem	B-T
II	E-T
in	O
a	O
metal	B-R
oxide	I-R
system	E-R
:	O
Electron	B-RP
pathways	E-RP

Engineering	O
of	O
B800	B-RP
bacteriochlorophyll	I-RP
binding	I-RP
specificity	E-RP
in	O
the	O
Rhodobacter	B-R
sphaeroides	I-R
antenna	E-R

Characterizing	O
the	O
distribution	O
of	O
an	O
endangered	B-R
salmonid	E-R
using	O
environmental	B-METH
analysis	E-METH

Predicting	B-RP
responses	I-RP
to	I-RP
interventions	E-RP
through	O
scenarios:	O
A	O
Cambodian	B-METH
study	E-METH

Missing	B-RP
native	I-RP
oyster	I-RP
(Ostrea	I-RP
edulis	I-RP
beds	E-RP
in	O
a	O
European	B-LOC
Marine	I-LOC
Protected	I-LOC
Should	E-LOC
there	O
be	O
widespread	O
restorative	O
management?	O

Avian	B-R
pollinators	I-R
and	I-R
the	I-R
syndromes	E-R
of	O
selected	B-R
Mountain	I-R
plants	E-R

CO2	B-METH
fixation	E-METH
in	O
CAM	S-R
enhances	O
water	B-RP
uptake	E-RP
during	O
the	O
night	S-R

The	O
correct	O
name	O
for	O
Memecylon	B-R
(Melastomataceae)	E-R

Seed	B-RP
germination	E-RP
in	O
Citrullus	B-R
lanatus.	E-R
Part	O
2.	O
The	O
involvement	O
of	O
phytochrome	B-R
ethylene	E-R
in	O
controlling	O
light	B-P
sensitivity	E-P

Evolution	B-RP
pathogens	E-RP
towards	O
low	B-P
R0	E-P
in	O
heterogeneous	B-R
populations	E-R

Biomass	B-RP
increases	E-RP
go	O
under	O
cover:	O
Woody	B-RP
dynamics	E-RP
in	O
a	O
communally	O
utilised	O
semi-arid	B-LOC
savanna	I-LOC
in	I-LOC
Bushbuckridge,	I-LOC
Africa	E-LOC

Mutually	O
stimulating	O
interactions	O
between	O
lactic	B-R
bacteria	E-R
and	O
Saccharomyces	B-R
cerevisiae	E-R
in	O
sourdough	B-RP
fermentation	E-RP

Traditional	O
dairy	B-R
products	E-R
can	O
supply	B-RP
microorganisms	E-RP
able	O
to	O
survive	O
in	O
the	O
gastrointestinal	B-R
tract	E-R

Within	O
a	O
sample	O
from	O
a	O
population,	O
the	O
distribution	O
of	O
the	O
number	O
of	O
descendants	O
of	O
a	O
subsample’s	O
most	O
recent	O
common	O
ancestor	O

Modelling	O
how	O
the	O
physical	B-R
scale	E-R
of	O
experimental	B-R
tanks	E-R
affects	O
salmon	B-RP
performance	E-RP

Long-term	B-P
variability	E-P
of	O
the	O
siphonophores	B-R
atlantica	E-R
and	O
M.	B-R
kochi	E-R
in	O
the	O
Western	B-LOC
Channel	E-LOC

Seasonal	B-P
changes	E-P
in	O
plankton	B-RP
respiration	E-RP
and	O
bacterial	B-P
metabolism	E-P
in	O
a	O
temperate	B-R
sea	E-R

Habitat	B-RP
heterogeneity	E-RP
of	O
hadal	B-R
trenches	E-R
:	O
Considerations	O
and	O
implications	O
for	O
future	O
studies	O

Numerical	B-METH
modelling	E-METH
and	O
experimental	B-S
validation	E-S
of	O
a	O
regenerative	B-T
cooler	E-T

Comparing	O
the	O
effects	O
of	O
feeding	O
a	O
grain-	B-R
or	I-R
a	I-R
fish	I-R
diet	E-R
on	O
water	B-P
quality,	I-P
waste	I-P
production,	I-P
and	I-P
rainbow	I-P
trout	I-P
Oncorhynchus	I-P
performance	E-P
within	O
low	B-R
exchange	I-R
water	I-R
recirculating	I-R
systems	E-R

Antibacterial	B-RP
properties	E-RP
of	O
Curtisia	B-R
leaves	E-R
and	O
some	O
triterpenes/active	B-P
principles	E-P
isolated	O
from	O
them	O

Subunit	B-R
vaccines	E-R
based	O
on	O
intimin	B-R
and	I-R
polypeptides	E-R
induce	O
humoral	B-RP
immunity	I-RP
cattle	E-RP
but	O
do	O
not	O
protect	O
against	O
intestinal	B-RP
colonisation	E-RP
by	O
enterohaemorrhagic	B-R
Escherichia	I-R
coli	I-R
O157:H7	I-R
O26:H-	E-R

The	O
biological	O
effects	O
of	O
ionising	B-RP
radiation	E-RP
on	O
Crustaceans	S-R
:	O
A	O
review	O

Sheep	B-P
urine	I-P
patch	I-P
emissions	E-P
are	O
lower	O
from	O
extensively-managed	O
than	O
intensively-managed	B-R
grasslands	E-R

Metagenomic	B-RP
and	I-RP
analysis	E-RP
of	O
the	O
microbial	B-R
community	E-R
in	O
Swiss-type	B-R
cheese	E-R
during	O
ripening	S-P

Exposure	O
to	O
foods'	B-RP
non-taste	I-RP
properties	E-RP
.	O
A	O
nursery	O
intervention	O
to	O
increase	O
children's	O
willingness	O
to	O
try	O
fruit	S-R
and	O
vegetables	S-R

Energy-dense	B-R
snacks	E-R
can	O
have	O
the	O
same	O
expected	O
satiation	S-RP
as	O
sugar-containing	B-R
beverages	E-R

From	O
cookies	O
to	O
carrots;	O
the	O
effect	O
of	O
inhibitory	B-METH
training	E-METH
on	O
children's	B-RP
selections	E-RP

Availability	B-RP
and	I-RP
plant	I-RP
uptake	I-RP
of	I-RP
metals	E-RP
in	O
EDTA-assisted	B-METH
phytoremediation	E-METH
of	O
soil	B-R
and	I-R
biosolids	E-R

Sunbird	B-RP
pollination	E-RP
of	O
the	O
dioecious	B-R
root	I-R
parasite	I-R
Cytinus	I-R
(Cytinaceae)	E-R

Genetic	B-R
resources	E-R
,	O
chromosome	B-RP
engineering	E-RP
,	O
and	O
crop	B-RP
improvement	E-RP
series,	O
Grain	B-R
legumes	E-R
Volume	O
