Distribution	O
and	O
dynamics	O
of	O
electron	B-RP
complexes	I-RP
in	O
cyanobacterial	B-M
membranes	I-M

The	O
occurrence	O
of	O
prostaglandin	B-M
F2α	I-M
in	O
Pharbitis	B-M
seedlings	I-M
grown	O
under	O
short	B-P
days	I-P
or	I-P
days	I-P

A	O
phylogenetic	B-RP
and	I-RP
analysis	I-RP
of	O
Curio	B-M
(Asteraceae)	I-M

Photocurrents	B-P
from	O
photosystem	B-T
II	I-T
in	O
a	O
metal	B-M
oxide	I-M
system	I-M
:	O
Electron	B-RP
pathways	I-RP

Engineering	O
of	O
B800	B-RP
bacteriochlorophyll	I-RP
binding	I-RP
specificity	I-RP
in	O
the	O
Rhodobacter	B-M
sphaeroides	I-M
antenna	I-M

Characterizing	O
the	O
distribution	O
of	O
an	O
endangered	B-M
salmonid	I-M
using	O
environmental	B-METH
analysis	I-METH

Predicting	B-RP
responses	I-RP
to	I-RP
interventions	I-RP
through	O
scenarios:	O
A	O
Cambodian	B-METH
study	I-METH

Missing	B-RP
native	I-RP
oyster	I-RP
(Ostrea	I-RP
edulis	I-RP
beds	I-RP
in	O
a	O
European	B-LOC
Marine	I-LOC
Protected	I-LOC
Should	I-LOC
there	O
be	O
widespread	O
restorative	O
management?	O

Avian	B-M
pollinators	I-M
and	I-M
the	I-M
syndromes	I-M
of	O
selected	B-M
Mountain	I-M
plants	I-M

CO2	B-METH
fixation	I-METH
in	O
CAM	B-M
enhances	O
water	B-RP
uptake	I-RP
during	O
the	O
night	B-M

The	O
correct	O
name	O
for	O
Memecylon	B-M
(Melastomataceae)	I-M

Seed	B-RP
germination	I-RP
in	O
Citrullus	B-M
lanatus.	I-M
Part	O
2.	O
The	O
involvement	O
of	O
phytochrome	B-M
ethylene	I-M
in	O
controlling	O
light	B-P
sensitivity	I-P

Evolution	B-RP
pathogens	I-RP
towards	O
low	B-P
R0	I-P
in	O
heterogeneous	B-M
populations	I-M

Biomass	B-RP
increases	I-RP
go	O
under	O
cover:	O
Woody	B-RP
dynamics	I-RP
in	O
a	O
communally	O
utilised	O
semi-arid	B-LOC
savanna	I-LOC
in	I-LOC
Bushbuckridge,	I-LOC
Africa	I-LOC

Mutually	O
stimulating	O
interactions	O
between	O
lactic	B-M
bacteria	I-M
and	O
Saccharomyces	B-M
cerevisiae	I-M
in	O
sourdough	B-RP
fermentation	I-RP

Traditional	O
dairy	B-M
products	I-M
can	O
supply	B-RP
microorganisms	I-RP
able	O
to	O
survive	O
in	O
the	O
gastrointestinal	B-M
tract	I-M

Within	O
a	O
sample	O
from	O
a	O
population,	O
the	O
distribution	O
of	O
the	O
number	O
of	O
descendants	O
of	O
a	O
subsample’s	O
most	O
recent	O
common	O
ancestor	O

Modelling	O
how	O
the	O
physical	B-M
scale	I-M
of	O
experimental	B-M
tanks	I-M
affects	O
salmon	B-RP
performance	I-RP

Long-term	B-P
variability	I-P
of	O
the	O
siphonophores	B-M
atlantica	I-M
and	O
M.	B-M
kochi	I-M
in	O
the	O
Western	B-LOC
Channel	I-LOC

Seasonal	B-P
changes	I-P
in	O
plankton	B-RP
respiration	I-RP
and	O
bacterial	B-P
metabolism	I-P
in	O
a	O
temperate	B-M
sea	I-M

Habitat	B-RP
heterogeneity	I-RP
of	O
hadal	B-M
trenches	I-M
:	O
Considerations	O
and	O
implications	O
for	O
future	O
studies	O

Numerical	B-METH
modelling	I-METH
and	O
experimental	B-S
validation	I-S
of	O
a	O
regenerative	B-T
cooler	I-T

Comparing	O
the	O
effects	O
of	O
feeding	O
a	O
grain-	B-M
or	I-M
a	I-M
fish	I-M
diet	I-M
on	O
water	B-P
quality,	I-P
waste	I-P
production,	I-P
and	I-P
rainbow	I-P
trout	I-P
Oncorhynchus	I-P
performance	I-P
within	O
low	B-M
exchange	I-M
water	I-M
recirculating	I-M
systems	I-M

Antibacterial	B-RP
properties	I-RP
of	O
Curtisia	B-M
leaves	I-M
and	O
some	O
triterpenes/active	B-P
principles	I-P
isolated	O
from	O
them	O

Subunit	B-M
vaccines	I-M
based	O
on	O
intimin	B-M
and	I-M
polypeptides	I-M
induce	O
humoral	B-RP
immunity	I-RP
cattle	I-RP
but	O
do	O
not	O
protect	O
against	O
intestinal	B-RP
colonisation	I-RP
by	O
enterohaemorrhagic	B-M
Escherichia	I-M
coli	I-M
O157:H7	I-M
O26:H-	I-M

The	O
biological	O
effects	O
of	O
ionising	B-RP
radiation	I-RP
on	O
Crustaceans	B-M
:	O
A	O
review	O

Sheep	B-P
urine	I-P
patch	I-P
emissions	I-P
are	O
lower	O
from	O
extensively-managed	O
than	O
intensively-managed	B-M
grasslands	I-M

Metagenomic	B-RP
and	I-RP
analysis	I-RP
of	O
the	O
microbial	B-M
community	I-M
in	O
Swiss-type	B-M
cheese	I-M
during	O
ripening	B-P

Exposure	O
to	O
foods'	B-RP
non-taste	I-RP
properties	I-RP
.	O
A	O
nursery	O
intervention	O
to	O
increase	O
children's	O
willingness	O
to	O
try	O
fruit	B-M
and	O
vegetables	B-M

Energy-dense	B-M
snacks	I-M
can	O
have	O
the	O
same	O
expected	O
satiation	B-RP
as	O
sugar-containing	B-M
beverages	I-M

From	O
cookies	O
to	O
carrots;	O
the	O
effect	O
of	O
inhibitory	B-METH
training	I-METH
on	O
children's	B-RP
selections	I-RP

Availability	B-RP
and	I-RP
plant	I-RP
uptake	I-RP
of	I-RP
metals	I-RP
in	O
EDTA-assisted	B-METH
phytoremediation	I-METH
of	O
soil	B-M
and	I-M
biosolids	I-M

Sunbird	B-RP
pollination	I-RP
of	O
the	O
dioecious	B-M
root	I-M
parasite	I-M
Cytinus	I-M
(Cytinaceae)	I-M

Genetic	B-M
resources	I-M
,	O
chromosome	B-RP
engineering	I-RP
,	O
and	O
crop	B-RP
improvement	I-RP
series,	O
Grain	B-M
legumes	I-M
Volume	O
